primaryTitle,startYear,averageRating,numVotes,primaryTitle_clean,title,date_added,release_year,title_clean
Inception,2010,8.8,2674083,inception,Inception,2021-08-01,2010,inception
Pulp Fiction,1994,8.9,2327728,pulp fiction,Pulp Fiction,2019-01-01,1994,pulp fiction
Breaking Bad,2008,9.5,2316546,breaking bad,Breaking Bad,2013-08-02,2013,breaking bad
The Matrix,1999,8.7,2148843,the matrix,The Matrix,2019-11-01,1999,the matrix
The Lord of the Rings: The Return of the King,2003,9.0,2071611,the lord of the rings: the return of the king,The Lord of the Rings: The Return of the King,2020-01-01,2003,the lord of the rings: the return of the king
The Lord of the Rings: The Two Towers,2002,8.8,1867672,the lord of the rings: the two towers,The Lord of the Rings: The Two Towers,2020-01-01,2002,the lord of the rings: the two towers
Django Unchained,2012,8.5,1784651,django unchained,Django Unchained,2021-07-24,2012,django unchained
Inglourious Basterds,2009,8.4,1675352,inglourious basterds,Inglourious Basterds,2019-07-22,2009,inglourious basterds
Joker,2019,8.3,1602993,joker,Joker,2018-08-02,2012,joker
Shutter Island,2010,8.2,1543533,shutter island,Shutter Island,2021-02-01,2010,shutter island
Schindler's List,1993,9.0,1517814,schindler's list,Schindler's List,2018-04-01,1993,schindler's list
The Departed,2006,8.5,1483158,the departed,The Departed,2021-01-01,2006,the departed
Stranger Things,2016,8.6,1436701,stranger things,Stranger Things,2019-07-04,2019,stranger things
Goodfellas,1990,8.7,1320772,goodfellas,GoodFellas,2021-01-01,1990,goodfellas
Avengers: Infinity War,2018,8.4,1280740,avengers: infinity war,Avengers: Infinity War,2018-12-25,2018,avengers: infinity war
Kill Bill: Vol. 1,2003,8.2,1247443,kill bill: vol. 1,Kill Bill: Vol. 1,2020-01-01,2003,kill bill: vol. 1
American Beauty,1999,8.3,1246606,american beauty,American Beauty,2020-01-01,1999,american beauty
American History X,1998,8.5,1228491,american history x,American History X,2019-11-01,1998,american history x
V for Vendetta,2005,8.1,1212652,v for vendetta,V for Vendetta,2018-10-01,2005,v for vendetta
Catch Me If You Can,2002,8.1,1160041,catch me if you can,Catch Me If You Can,2021-08-01,2002,catch me if you can
Friends,1994,8.9,1140674,friends,Friends,,2003,friends
The Walking Dead,2010,8.1,1137591,the walking dead,The Walking Dead,2021-07-26,2019,the walking dead
Sherlock,2010,9.1,1045104,sherlock,Sherlock,2017-05-15,2017,sherlock
Taxi Driver,1976,8.2,975234,taxi driver,Taxi Driver,2020-02-26,2015,taxi driver
The Intouchables,2011,8.5,974912,the intouchables,The Intouchables,2021-01-11,2011,the intouchables
The Pianist,2002,8.5,965141,the pianist,The Pianist,2021-04-01,2002,the pianist
A Clockwork Orange,1971,8.2,909579,a clockwork orange,A Clockwork Orange,2020-11-01,1971,a clockwork orange
Black Panther,2018,7.3,871173,black panther,Black Panther,2018-09-04,2018,black panther
Thor: Ragnarok,2017,7.9,852371,thor: ragnarok,Thor: Ragnarok,2018-06-05,2017,thor: ragnarok
Dexter,2006,8.6,838565,dexter,Dexter,2018-01-01,2013,dexter
Gran Torino,2008,8.1,837583,gran torino,Gran Torino,2020-10-01,2008,gran torino
Indiana Jones and the Last Crusade,1989,8.2,836473,indiana jones and the last crusade,Indiana Jones and the Last Crusade,2019-01-01,1989,indiana jones and the last crusade
Kill Bill: Vol. 2,2004,8.0,835947,kill bill: vol. 2,Kill Bill: Vol. 2,2020-01-01,2004,kill bill: vol. 2
City of God,2002,8.6,835231,city of god,City of God,2020-01-01,2002,city of god
Sin City,2005,8.0,806503,sin city,Sin City,2020-08-05,2019,sin city
The Social Network,2010,7.8,788496,the social network,The Social Network,2020-04-01,2010,the social network
American Psycho,2000,7.6,776435,american psycho,American Psycho,2019-09-01,2000,american psycho
Silver Linings Playbook,2012,7.7,758592,silver linings playbook,Silver Linings Playbook,2021-06-17,2012,silver linings playbook
Psycho,1960,8.5,750419,psycho,Psycho,2020-05-01,2020,psycho
Trainspotting,1996,8.1,747913,trainspotting,Trainspotting,2019-10-01,1996,trainspotting
Million Dollar Baby,2004,8.1,744865,million dollar baby,Million Dollar Baby,2021-06-02,2004,million dollar baby
District 9,2009,7.9,734382,district 9,District 9,2019-11-04,2009,district 9
Drive,2011,7.8,733944,drive,Drive,2019-11-01,2019,drive
Spider-Man: Into the Spider-Verse,2018,8.4,726823,spider-man: into the spider-verse,Spider-Man: Into the Spider-Verse,2019-06-26,2018,spider-man: into the spider-verse
Better Call Saul,2015,9.0,725841,better call saul,Better Call Saul,2020-02-09,2018,better call saul
Pan's Labyrinth,2006,8.2,723391,pan's labyrinth,Pan's Labyrinth,2020-01-01,2006,pan's labyrinth
The King's Speech,2010,8.0,720695,the king's speech,The King's Speech,2018-06-02,2010,the king's speech
Casino Royale,2006,8.0,716338,casino royale,Casino Royale,2020-08-31,2006,casino royale
Peaky Blinders,2013,8.7,707194,peaky blinders,Peaky Blinders,2019-10-04,2019,peaky blinders
Her,2013,8.0,699879,her,Her,2018-07-29,2013,her
Jaws,1975,8.1,692176,jaws,Jaws,2021-09-16,1975,jaws
The Hateful Eight,2015,7.8,689669,the hateful eight,The Hateful Eight,2017-10-25,2015,the hateful eight
Sherlock Holmes,2009,7.6,689068,sherlock holmes,Sherlock Holmes,2021-01-01,2009,sherlock holmes
Black Mirror,2011,8.7,683783,black mirror,Black Mirror,2019-06-05,2019,black mirror
Into the Wild,2007,8.0,677838,into the wild,Into the Wild,2021-01-01,2007,into the wild
There Will Be Blood,2007,8.2,668782,there will be blood,There Will Be Blood,2020-03-01,2007,there will be blood
Spider-Man 3,2007,6.3,666670,spider-man 3,Spider-Man 3,2019-11-01,2007,spider-man 3
Superbad,2007,7.6,661714,superbad,Superbad,2021-01-01,2007,superbad
Squid Game,2021,8.0,659172,squid game,Squid Game,2021-09-17,2021,squid game
Rocky,1976,8.1,657828,rocky,Rocky,2019-08-01,1976,rocky
Taken,2008,7.7,653958,taken,Taken,2019-01-12,2018,taken
The Matrix Reloaded,2003,7.2,650632,the matrix reloaded,The Matrix Reloaded,2019-11-01,2003,the matrix reloaded
Zombieland,2009,7.5,643977,zombieland,Zombieland,2019-11-01,2009,zombieland
Ocean's Eleven,2001,7.7,643933,ocean's eleven,Ocean's Eleven,2019-11-01,1960,ocean's eleven
Men in Black,1997,7.3,638088,men in black,Men in Black,2019-10-19,1997,men in black
Nightcrawler,2014,7.8,634945,nightcrawler,Nightcrawler,2020-08-10,2014,nightcrawler
"Lock, Stock and Two Smoking Barrels",1998,8.1,633934,"lock, stock and two smoking barrels","Lock, Stock and Two Smoking Barrels",2019-01-01,1998,"lock, stock and two smoking barrels"
Zodiac,2007,7.7,633237,zodiac,Zodiac,2019-11-20,2007,zodiac
Star Trek,2009,7.9,629046,star trek,Star Trek,2021-07-01,2009,star trek
Limitless,2011,7.4,628609,limitless,Limitless,2019-10-01,2017,limitless
Ex Machina,2014,7.7,615965,ex machina,Ex Machina,2018-07-26,2015,ex machina
The Queen's Gambit,2020,8.5,613424,the queen's gambit,The Queen's Gambit,2020-10-23,2020,the queen's gambit
Attack on Titan,2013,9.1,603525,attack on titan,Attack on Titan,2021-06-02,2013,attack on titan
The Witcher,2019,7.9,594065,the witcher,The Witcher,2019-12-20,2019,the witcher
Troy,2004,7.3,591916,troy,Troy,2018-04-06,2018,troy
The Pursuit of Happyness,2006,8.0,589743,the pursuit of happyness,The Pursuit of Happyness,2019-10-01,2006,the pursuit of happyness
Monty Python and the Holy Grail,1975,8.2,586473,monty python and the holy grail,Monty Python and the Holy Grail,2019-01-02,1975,monty python and the holy grail
The Conjuring,2013,7.5,582433,the conjuring,The Conjuring,2021-02-21,2013,the conjuring
The Perks of Being a Wallflower,2012,7.9,569344,the perks of being a wallflower,The Perks of Being a Wallflower,2020-04-01,2012,the perks of being a wallflower
Rain Man,1988,8.0,563851,rain man,Rain Man,2021-03-01,1988,rain man
The Matrix Revolutions,2003,6.7,559812,the matrix revolutions,The Matrix Revolutions,2019-11-01,2003,the matrix revolutions
Indiana Jones and the Temple of Doom,1984,7.5,550889,indiana jones and the temple of doom,Indiana Jones and the Temple of Doom,2019-01-01,1984,indiana jones and the temple of doom
Charlie and the Chocolate Factory,2005,6.7,549807,charlie and the chocolate factory,Charlie and the Chocolate Factory,2020-01-01,2005,charlie and the chocolate factory
Kung Fu Panda,2008,7.6,549349,kung fu panda,Kung Fu Panda,2021-07-01,2008,kung fu panda
House of Cards,2013,8.6,545934,house of cards,House of Cards,2021-04-14,2018,house of cards
Dallas Buyers Club,2013,7.9,534136,dallas buyers club,Dallas Buyers Club,2018-01-16,2013,dallas buyers club
Rush,2013,8.1,532838,rush,Rush,2021-04-16,2013,rush
Spotlight,2015,8.1,517545,spotlight,Spotlight,2020-07-22,2015,spotlight
Warrior,2011,8.1,513173,warrior,Warrior,2018-11-13,2018,warrior
Suits,2011,8.4,513045,suits,Suits,2019-12-01,2018,suits
The Terminal,2004,7.4,512822,the terminal,The Terminal,2019-03-29,2018,the terminal
The Girl with the Dragon Tattoo,2011,7.8,512461,the girl with the dragon tattoo,The Girl with the Dragon Tattoo,2021-01-05,2011,the girl with the dragon tattoo
The Help,2011,8.1,511540,the help,The Help,2020-06-01,2011,the help
Supernatural,2005,8.4,509811,supernatural,Supernatural,2020-06-05,2019,supernatural
Twilight,2008,5.3,505148,twilight,Twilight,2021-07-16,2008,twilight
Mystic River,2003,7.9,502914,mystic river,Mystic River,2021-05-01,2003,mystic river
Indiana Jones and the Kingdom of the Crystal Skull,2008,6.2,502228,indiana jones and the kingdom of the crystal skull,Indiana Jones and the Kingdom of the Crystal Skull,2019-01-01,2008,indiana jones and the kingdom of the crystal skull
Narcos,2015,8.7,498837,narcos,Narcos,2017-09-01,2017,narcos
The Theory of Everything,2014,7.7,495980,the theory of everything,The Theory of Everything,2018-12-16,2014,the theory of everything
Training Day,2001,7.8,494599,training day,Training Day,2021-09-16,2001,training day
Dark,2017,8.7,488374,dark,Dark,2020-06-27,2020,dark
Gangs of New York,2002,7.5,487611,gangs of new york,Gangs of New York,2019-08-20,2002,gangs of new york
Quantum of Solace,2008,6.5,482288,quantum of solace,Quantum of Solace,2020-08-31,2008,quantum of solace
Scott Pilgrim vs. the World,2010,7.5,480760,scott pilgrim vs. the world,Scott Pilgrim vs. the World,2018-09-16,2010,scott pilgrim vs. the world
The Da Vinci Code,2006,6.6,471507,the da vinci code,The Da Vinci Code,2020-12-01,2006,the da vinci code
Ant-Man and the Wasp,2018,7.0,470912,ant-man and the wasp,Ant-Man and the Wasp,2019-01-29,2018,ant-man and the wasp
Room,2015,8.1,466825,room,Room,2018-07-19,2015,room
3 Idiots,2009,8.4,456850,3 idiots,3 Idiots,2021-04-01,2009,3 idiots
Crash,2004,7.7,455153,crash,Crash,2019-10-01,2004,crash
Platoon,1986,8.1,455020,platoon,Platoon,2020-11-01,1986,platoon
Arrow,2012,7.5,453588,arrow,Arrow,2020-02-05,2019,arrow
Godzilla,2014,6.4,453317,godzilla,Godzilla,2018-01-17,2017,godzilla
The Irishman,2019,7.8,451912,the irishman,The Irishman,2019-11-27,2019,the irishman
The Game,1997,7.7,451107,the game,The Game,2021-07-01,1997,the game
Collateral,2004,7.5,447728,collateral,Collateral,2018-03-09,2018,collateral
Black Hawk Down,2001,7.7,438856,black hawk down,Black Hawk Down,2019-01-01,2001,black hawk down
Cloverfield,2008,7.0,432880,cloverfield,Cloverfield,2020-01-01,2008,cloverfield
Easy A,2010,7.0,430777,easy a,Easy A,2020-11-01,2010,easy a
The Machinist,2004,7.6,428484,the machinist,The Machinist,2021-08-01,2004,the machinist
Monty Python's Life of Brian,1979,8.0,428366,monty python's life of brian,Monty Python's Life of Brian,2018-10-02,1979,monty python's life of brian
Terminator 3: Rise of the Machines,2003,6.3,427724,terminator 3: rise of the machines,Terminator 3: Rise of the Machines,2020-01-01,2003,terminator 3: rise of the machines
The Lives of Others,2006,8.4,426649,the lives of others,The Lives of Others,2019-03-15,2006,the lives of others
Ocean's Twelve,2004,6.5,425636,ocean's twelve,Ocean's Twelve,2019-10-01,2004,ocean's twelve
Death Note,2006,8.9,421714,death note,Death Note,2017-08-25,2017,death note
Death Note,2006,8.9,421714,death note,DEATH NOTE,2016-10-15,2006,death note
Wanted,2008,6.7,419341,wanted,Wanted,2021-06-28,2019,wanted
Men in Black II,2002,6.2,418041,men in black ii,Men in Black II,2019-10-01,2002,men in black ii
Scream,1996,7.4,416072,scream,Scream,2021-07-06,2019,scream
About Time,2013,7.8,411136,about time,About Time,2019-04-16,2013,about time
2012,2009,5.8,409688,2012,2012,2021-04-01,2009,2012
Snowpiercer,2013,7.1,405766,snowpiercer,Snowpiercer,2021-07-02,2013,snowpiercer
Bird Box,2018,6.6,405308,bird box,Bird Box,2018-12-21,2018,bird box
Avatar: The Last Airbender,2005,9.3,403978,avatar: the last airbender,Avatar: The Last Airbender,2020-05-15,2007,avatar: the last airbender
Ferris Bueller's Day Off,1986,7.8,401611,ferris bueller's day off,Ferris Bueller's Day Off,2021-08-01,1986,ferris bueller's day off
Signs,2002,6.8,400571,signs,Signs,2020-09-16,2020,signs
The Fighter,2010,7.8,398333,the fighter,The Fighter,2019-01-13,2010,the fighter
50 First Dates,2004,6.8,397562,50 first dates,50 First Dates,2020-12-01,2004,50 first dates
Sweeney Todd: The Demon Barber of Fleet Street,2007,7.3,397089,sweeney todd: the demon barber of fleet street,Sweeney Todd: The Demon Barber of Fleet Street,2020-01-01,2007,sweeney todd: the demon barber of fleet street
Raging Bull,1980,8.1,394789,raging bull,Raging Bull,2019-10-01,1980,raging bull
Yes Man,2008,6.8,394100,yes man,Yes Man,2021-04-01,2008,yes man
Once Upon a Time in America,1984,8.3,393960,once upon a time in america,Once Upon a Time in America,2021-09-01,1984,once upon a time in america
Solo: A Star Wars Story,2018,6.9,392933,solo: a star wars story,Solo: A Star Wars Story,2019-01-09,2018,solo: a star wars story
Jackie Brown,1997,7.5,388915,jackie brown,Jackie Brown,2019-08-01,1997,jackie brown
The Ring,2002,7.1,388775,the ring,The Ring,2020-01-01,2002,the ring
The Hunt,2012,8.3,386733,the hunt,The Hunt,2017-05-14,2015,the hunt
Moon,2009,7.8,385645,moon,Moon,2020-01-01,2009,moon
Terminator Salvation,2009,6.5,385358,terminator salvation,Terminator Salvation,2020-01-01,2009,terminator salvation
Cloud Atlas,2012,7.4,380756,cloud atlas,Cloud Atlas,2017-08-01,2012,cloud atlas
How to Train Your Dragon 2,2014,7.8,380261,how to train your dragon 2,How to Train Your Dragon 2,2020-09-11,2014,how to train your dragon 2
Sex Education,2019,8.2,377139,sex education,Sex Education,2021-09-17,2020,sex education
Ocean's Thirteen,2007,6.9,376800,ocean's thirteen,Ocean's Thirteen,2019-10-01,2007,ocean's thirteen
The Flash,2014,7.5,376327,the flash,The Flash,2021-07-28,2021,the flash
Lucifer,2016,8.0,374370,lucifer,Lucifer,2021-09-10,2021,lucifer
Click,2006,6.4,370846,click,Click,2020-01-01,2006,click
Real Steel,2011,7.1,369728,real steel,Real Steel,2020-09-24,2011,real steel
Homeland,2011,8.3,369087,homeland,Homeland,2019-10-15,2019,homeland
Ozark,2017,8.5,368648,ozark,Ozark,2020-03-27,2020,ozark
Total Recall,1990,7.5,367527,total recall,Total Recall,2020-07-01,1990,total recall
Once Upon a Time in the West,1968,8.5,366996,once upon a time in the west,Once Upon a Time in the West,2019-11-20,1968,once upon a time in the west
True Grit,2010,7.6,366355,true grit,True Grit,2020-01-01,1969,true grit
The Interview,2014,6.5,366311,the interview,The Interview,2021-09-01,2014,the interview
National Treasure,2004,6.9,366307,national treasure,National Treasure,2018-06-01,2004,national treasure
Shooter,2007,7.1,365791,shooter,Shooter,2019-06-21,2018,shooter
The Vampire Diaries,2009,7.7,365693,the vampire diaries,The Vampire Diaries,2017-09-04,2016,the vampire diaries
Mindhunter,2017,8.6,365658,mindhunter,MINDHUNTER,2019-08-16,2019,mindhunter
Due Date,2010,6.5,364872,due date,Due Date,2021-05-01,2010,due date
Pineapple Express,2008,6.9,364785,pineapple express,Pineapple Express,2021-08-01,2008,pineapple express
Hellboy,2004,6.9,360615,hellboy,Hellboy,2018-12-01,2004,hellboy
Marriage Story,2019,7.9,359872,marriage story,Marriage Story,2019-12-06,2019,marriage story
Grey's Anatomy,2005,7.6,358247,grey's anatomy,Grey's Anatomy,2021-07-03,2020,grey's anatomy
The Mist,2007,7.1,357363,the mist,The Mist,2017-10-24,2017,the mist
Up in the Air,2009,7.4,354965,up in the air,Up in the Air,2020-01-01,2009,up in the air
Equilibrium,2002,7.3,354721,equilibrium,Equilibrium,2019-06-08,2002,equilibrium
American Horror Story,2011,7.9,354101,american horror story,American Horror Story,2020-11-13,2019,american horror story
Les Misérables,2012,7.5,353997,les misérables,Les Misérables,2020-08-16,2012,les misérables
From Dusk Till Dawn,1996,7.2,353903,from dusk till dawn,From Dusk Till Dawn,2016-12-05,2016,from dusk till dawn
Insidious,2010,6.8,352248,insidious,Insidious,2021-04-01,2010,insidious
The Book of Eli,2010,6.8,350720,the book of eli,The Book of Eli,2019-07-01,2010,the book of eli
Lady Bird,2017,7.4,350475,lady bird,Lady Bird,2020-06-03,2017,lady bird
50/50,2011,7.6,347661,50/50,50/50,2019-06-01,2011,50/50
School of Rock,2003,7.2,344324,school of rock,School of Rock,2021-09-01,2003,school of rock
Donnie Brasco,1997,7.7,343740,donnie brasco,Donnie Brasco,2020-01-01,1997,donnie brasco
Hugo,2011,7.5,342891,hugo,Hugo,2020-03-01,2011,hugo
Hitch,2005,6.6,342090,hitch,Hitch,2020-01-01,2005,hitch
Moonlight,2016,7.4,341269,moonlight,Moonlight,2019-05-21,2016,moonlight
Kung Fu Panda 2,2011,7.3,338064,kung fu panda 2,Kung Fu Panda 2,2021-07-01,2011,kung fu panda 2
Magnolia,1999,8.0,337396,magnolia,Magnolia,2021-08-01,1999,magnolia
Arrested Development,2003,8.7,334077,arrested development,Arrested Development,2018-05-29,2019,arrested development
Uncut Gems,2019,7.4,333966,uncut gems,Uncut Gems,2020-05-25,2019,uncut gems
The Island,2005,6.8,333955,the island,The Island,2019-11-29,2018,the island
Red,2010,7.0,331715,red,Red,2021-02-23,2021,red
The Witch,2015,7.0,330528,the witch,The Witch,2018-09-17,2015,the witch
Step Brothers,2008,6.9,330248,step brothers,Step Brothers,2019-11-01,2008,step brothers
Orange Is the New Black,2013,8.0,328331,orange is the new black,Orange Is the New Black,2021-07-06,2019,orange is the new black
As Good as It Gets,1997,7.7,327867,as good as it gets,As Good as It Gets,2020-01-01,1997,as good as it gets
13 Reasons Why,2017,7.4,327784,13 reasons why,13 Reasons Why,2020-06-05,2020,13 reasons why
Nocturnal Animals,2016,7.4,327757,nocturnal animals,Nocturnal Animals,2020-12-16,2016,nocturnal animals
Hachi: A Dog's Tale,2009,8.1,327136,hachi: a dog's tale,Hachi: A Dog's Tale,2021-05-01,2009,hachi: a dog's tale
You,2018,7.7,325288,you,You,2019-12-26,2019,you
Babel,2006,7.5,323509,babel,Babel,2019-01-01,2006,babel
Seven Pounds,2008,7.6,320651,seven pounds,Seven Pounds,2021-07-01,2008,seven pounds
The Lobster,2015,7.1,318316,the lobster,The Lobster,2018-12-02,2015,the lobster
The Conjuring 2,2016,7.3,317501,the conjuring 2,The Conjuring 2,2021-02-21,2016,the conjuring 2
Angels & Demons,2009,6.7,317038,angels & demons,Angels & Demons,2020-12-01,2009,angels & demons
Grease,1978,7.2,313599,grease,Grease,2019-11-01,1978,grease
How the Grinch Stole Christmas,2000,6.4,311887,how the grinch stole christmas,How the Grinch Stole Christmas,2017-06-01,2000,how the grinch stole christmas
The Twilight Saga: New Moon,2009,4.8,309896,the twilight saga: new moon,The Twilight Saga: New Moon,2021-07-16,2009,the twilight saga: new moon
Fear and Loathing in Las Vegas,1998,7.5,309706,fear and loathing in las vegas,Fear and Loathing in Las Vegas,2019-11-01,1998,fear and loathing in las vegas
The Haunting of Hill House,2018,8.5,308626,the haunting of hill house,The Haunting of Hill House,2018-10-12,2018,the haunting of hill house
Panic Room,2002,6.8,306451,panic room,Panic Room,2019-08-01,2002,panic room
The Platform,2019,7.0,306028,the platform,The Platform,2021-06-02,2021,the platform
Bad Boys,1995,6.8,304990,bad boys,Bad Boys,2019-10-01,1995,bad boys
Rango,2011,7.3,304439,rango,Rango,2020-12-28,2011,rango
Hannibal,2001,6.8,303836,hannibal,Hannibal,2020-06-06,2015,hannibal
Green Lantern,2011,5.5,302967,green lantern,Green Lantern,2021-09-01,2011,green lantern
The Umbrella Academy,2019,7.8,302854,the umbrella academy,The Umbrella Academy,2020-07-31,2020,the umbrella academy
Community,2009,8.5,302828,community,Community,2020-04-01,2015,community
Scary Movie,2000,6.3,302236,scary movie,Scary Movie,2020-01-01,2000,scary movie
Parks and Recreation,2009,8.6,301985,parks and recreation,Parks and Recreation,2016-01-13,2015,parks and recreation
The Little Mermaid,1989,7.6,301515,the little mermaid,The Little Mermaid,2018-12-01,2018,the little mermaid
Dances with Wolves,1990,8.0,300450,dances with wolves,Dances with Wolves,2021-03-01,1990,dances with wolves
Olympus Has Fallen,2013,6.5,299810,olympus has fallen,Olympus Has Fallen,2019-05-02,2013,olympus has fallen
The Jungle Book,2016,7.3,298824,the jungle book,The Jungle Book,2019-05-11,2010,the jungle book
Clash of the Titans,2010,5.8,298753,clash of the titans,Clash of the Titans,2019-08-01,2010,clash of the titans
The Place Beyond the Pines,2012,7.3,298722,the place beyond the pines,The Place Beyond the Pines,2017-05-16,2012,the place beyond the pines
Final Destination,2000,6.7,298713,final destination,Final Destination,2020-01-01,2000,final destination
The Other Guys,2010,6.7,298399,the other guys,The Other Guys,2020-02-01,2010,the other guys
Van Helsing,2004,6.1,296848,van helsing,Van Helsing,2020-09-27,2019,van helsing
Hotel Transylvania,2012,7.0,296155,hotel transylvania,Hotel Transylvania,2018-06-26,2017,hotel transylvania
Superman Returns,2006,6.1,295780,superman returns,Superman Returns,2019-10-01,2006,superman returns
Wind River,2017,7.7,295502,wind river,Wind River,2021-08-28,2017,wind river
Grown Ups,2010,6.0,293985,grown ups,Grown Ups,2021-09-20,2010,grown ups
Underworld,2003,7.0,293382,underworld,Underworld,2021-07-01,2003,underworld
One Piece,1999,9.0,293274,one piece,ONE PIECE,2020-06-12,2002,one piece
John Carter,2012,6.6,292687,john carter,John Carter,2019-05-02,2012,john carter
Stardust,2007,7.6,291711,stardust,Stardust,2020-07-01,2007,stardust
Boogie Nights,1997,7.9,290711,boogie nights,Boogie Nights,2021-07-01,1997,boogie nights
The 100,2014,7.5,290349,the 100,The 100,2020-10-08,2020,the 100
The Blacklist,2013,7.9,289287,the blacklist,The Blacklist,2020-09-18,2019,the blacklist
"Crouching Tiger, Hidden Dragon",2000,7.9,287720,"crouching tiger, hidden dragon","Crouching Tiger, Hidden Dragon",2019-03-01,2000,"crouching tiger, hidden dragon"
Coraline,2009,7.8,282999,coraline,Coraline,2017-03-16,2009,coraline
Train to Busan,2016,7.6,282653,train to busan,Train to Busan,2017-03-18,2016,train to busan
Hook,1991,6.8,281910,hook,Hook,2020-07-05,2020,hook
Blow,2001,7.5,281481,blow,Blow,2019-10-01,2001,blow
Bad Boys II,2003,6.6,280606,bad boys ii,Bad Boys II,2019-10-01,2003,bad boys ii
End of Watch,2012,7.6,280447,end of watch,End of Watch,2019-11-23,2012,end of watch
Lincoln,2012,7.3,278415,lincoln,Lincoln,2018-02-21,2012,lincoln
Chappie,2015,6.8,277337,chappie,Chappie,2021-09-01,2015,chappie
Extraction,2020,6.8,277245,extraction,Extraction,2021-09-01,2015,extraction
GoldenEye,1995,7.2,276993,goldeneye,GoldenEye,2019-12-31,1995,goldeneye
War Dogs,2016,7.1,276607,war dogs,War Dogs,2021-02-08,2016,war dogs
Mad Men,2007,8.7,274086,mad men,Mad Men,2015-03-22,2014,mad men
21,2008,6.8,273569,21,21,2020-01-01,2008,21
Unknown,2011,6.8,273003,unknown,Unknown,2021-01-01,2011,unknown
Cloudy with a Chance of Meatballs,2009,6.9,271135,cloudy with a chance of meatballs,Cloudy with a Chance of Meatballs,2021-08-01,2009,cloudy with a chance of meatballs
Euphoria,2019,8.3,270177,euphoria,Euphoria,2019-11-01,2018,euphoria
The Twilight Saga: Eclipse,2010,5.1,270133,the twilight saga: eclipse,The Twilight Saga: Eclipse,2021-07-16,2010,the twilight saga: eclipse
The Crown,2016,8.6,269469,the crown,The Crown,2020-11-15,2020,the crown
A Separation,2011,8.3,268591,a separation,A Separation,2019-03-16,2011,a separation
Life,2017,6.6,266973,life,Life,2018-09-12,2018,life
Philadelphia,1993,7.7,266327,philadelphia,Philadelphia,2019-07-01,1993,philadelphia
Spartacus,2010,8.5,266022,spartacus,Spartacus,2015-02-01,2013,spartacus
The Bucket List,2007,7.3,265833,the bucket list,The Bucket List,2019-10-01,2007,the bucket list
Legally Blonde,2001,6.5,265632,legally blonde,Legally Blonde,2021-04-01,2001,legally blonde
Austin Powers: International Man of Mystery,1997,7.0,265427,austin powers: international man of mystery,Austin Powers: International Man of Mystery,2021-07-01,1997,austin powers: international man of mystery
Hell or High Water,2016,7.6,264417,hell or high water,Hell or High Water,2019-01-01,2016,hell or high water
Paranormal Activity,2007,6.3,264374,paranormal activity,Paranormal Activity,2020-01-01,2007,paranormal activity
The Tourist,2010,6.0,262556,the tourist,The Tourist,2021-07-01,2010,the tourist
The Lincoln Lawyer,2011,7.3,261737,the lincoln lawyer,The Lincoln Lawyer,2021-08-01,2011,the lincoln lawyer
What's Eating Gilbert Grape,1993,7.7,261456,what's eating gilbert grape,What's Eating Gilbert Grape,2021-01-01,1993,what's eating gilbert grape
The Boy in the Striped Pajamas,2008,7.7,261394,the boy in the striped pajamas,The Boy in the Striped Pajamas,2019-01-01,2008,the boy in the striped pajamas
The Talented Mr. Ripley,1999,7.4,260656,the talented mr. ripley,The Talented Mr. Ripley,2020-01-01,1999,the talented mr. ripley
Ghost Rider,2007,5.3,260426,ghost rider,Ghost Rider,2020-10-01,2007,ghost rider
Madagascar: Escape 2 Africa,2008,6.6,258990,madagascar: escape 2 africa,Madagascar: Escape 2 Africa,2020-05-01,2008,madagascar: escape 2 africa
Primal Fear,1996,7.7,258634,primal fear,Primal Fear,2019-12-01,1996,primal fear
Tarzan,1999,7.3,258497,tarzan,Tarzan,2018-06-23,1999,tarzan
Lawless,2012,7.2,258284,lawless,Lawless,2021-03-28,2012,lawless
The Karate Kid,1984,7.3,257998,the karate kid,The Karate Kid,2021-07-01,1984,the karate kid
The Polar Express,2004,6.6,256984,the polar express,The Polar Express,2021-01-01,2004,the polar express
Austin Powers: The Spy Who Shagged Me,1999,6.7,255767,austin powers: the spy who shagged me,Austin Powers: The Spy Who Shagged Me,2021-07-01,1999,austin powers: the spy who shagged me
Knowing,2009,6.2,255356,knowing,Knowing,2019-10-01,2009,knowing
Dracula,1992,7.4,255320,dracula,Dracula,2020-01-04,2020,dracula
The Impossible,2012,7.5,255312,the impossible,The Impossible,2020-11-01,2012,the impossible
New Girl,2011,7.8,254872,new girl,New Girl,2019-04-11,2018,new girl
The Artist,2011,7.8,252043,the artist,The Artist,2020-04-25,2011,the artist
Mars Attacks!,1996,6.4,251702,mars attacks!,Mars Attacks!,2021-09-01,1996,mars attacks!
No Strings Attached,2011,6.2,249684,no strings attached,No Strings Attached,2021-07-01,2011,no strings attached
The Adventures of Tintin,2011,7.3,248808,the adventures of tintin,The Adventures of Tintin,2019-11-20,2011,the adventures of tintin
Rosemary's Baby,1968,8.0,247676,rosemary's baby,Rosemary's Baby,2019-11-01,1968,rosemary's baby
Prey,2022,7.1,247000,prey,Prey,2021-09-10,2021,prey
Gotham,2014,7.8,246745,gotham,Gotham,2019-09-30,2019,gotham
Safe House,2012,6.7,243764,safe house,Safe House,2021-09-16,2012,safe house
